,word,sentence,pos_tag,counts
48,covid,hour post nd covid vaccin bodi ach headach lowgrad temp shiver would take vaccin heartbeat realli glad vaccin covid moderna,NNP,1
49,covid,interessant video ban youtub dr simon gold share truth covid vaccin,NNP,1
50,covid,involv govern agenc commun join u commun coffe chat fri dec theme covid vaccin insight challeng best practic dm addl info agencywork govit communitybuild eventsprof govmil email address reqd,NNP,1
51,covid,johensley darcyshepherd jeffreyguterman realdonaldtrump differ vaccin differ ingredi take covid second efficaci fine also thevaccin made recombin dna made mrna realli hate peopl spread misinform luciferas enzym vaccin,NN,1
52,covid,johnson johnsonatm oneshot covid vaccin show promis earlystag trial,NNP,1
53,covid,johnwcurti wonder mutat permit vaccin facilit herdimmun time enough peopl immunis andor caught covid surviv herdimmun polici posit last year without vaccineext societ immun danger nonsens,NN,1
54,covid,join u inform session dr kubi covid vaccin safe effect detail follow kubimed kubiweightloss weightlossjourney,NNP,1
55,covid,marcorubio need vaccin mr rubio covid hoax like flu itll disappear april k dead peopl die viru tell get vaccin,NNP,1
56,covid,may remind vaccin caught covid also prevent,NN,1
57,covid,medstar health launch studi understand covid spread symptom vaccin adopt,NN,1
58,covid,mjackermanmdphd hi dr ackerman like know go discu safe covid vaccin lqt patient,NN,1
59,covid,moderna reveal final result covid vaccin,NN,1
60,covid,mohfwindia pmoindia drharshvardhan ashwinikchoubey pibindia mygovindia covidnewsbymib covidindiaseva everyon take covid vaccin protect covid end coronaviru pandem,NN,2
61,covid,must view principl vaccin program control covid via youtub,NN,1
62,covid,mythbust covidvaccin amyth vaccin need covid recov person afact advis receiv complet schedul vaccin despit recoveri covid enhanc immun respons wevaccin unitefightcorona indiafightscorona,NN,1
63,covid,mythbust covidvaccin amyth vaccin need covid recov person afact advis receiv complet schedul vaccin despit recoveri covid enhanc immun respons wevaccin unitefightcorona indiafightscorona,NNP,1
64,covid,nanotechnolog new hazard mrna covid vaccin lipid nanoparticl atmnanoatm particl mani known harm effect,NNP,1
65,covid,nanovaccin institut develop nextgener covid vaccin iowa state univers,NN,1
66,covid,nbaatm dr leroy sim covid vaccin undef,NNP,1
67,covid,new cwmh blog pregnant woman covid vaccin,NN,1
68,covid,new result astrazeneca covid vaccin candid suggest safe effect news,NN,1
69,covid,nice infograph covid vaccin compar unbiasedscipod,NNP,1
70,covid,northern light covid vaccin,NN,1
71,covid,novavax covid vaccin demonstr efficaci ina uk phase trial novavax inc ir site acityofresearcha led way absolut delight news adocjohnwrighta,NNP,1
72,covid,novavax publish posit efficaci data covid vaccin read,NNP,1
73,covid,novavax say covid vaccin effect far le one variant via statnew pharma covid coronaviru vaccin nvax,NN,1
74,covid,novavax say covid vaccin effect far le one variant via statnew pharma covid coronaviru vaccin nvax,NNP,1
75,covid,nqosi posit vaccin expect viru caus covid first attenu weaken point caus diseas activ antibodi introduc antigen sometim immun diseas develop greatpmkgmailcom,NNP,1
76,covid,nvax share premarket co say covid vaccin effect uk trial nvax breakout alert lookout take,NN,1
77,covid,pfizer test booster shot develop adapt vaccin address variant concern covid coronaviru,NN,1
78,covid,question covid vaccin hear medic expert commun leader public health profession ohioatm covid vaccin town hall caresourceemploye,NN,1
79,covid,question covid vaccin hear medic expert commun leader public health profession ohioatm covid vaccin town hall caresourceemploye,NNP,1
80,covid,question remain around strategi curb continu spread covid join u webinar tomorrow noon expert answer question vaccin treatment prevent expect go forward regist,NN,1
81,covid,question work get covid vaccin question answer concern vaccin let u know covid stori found,NN,2
82,covid,risk v benefit know covid vaccin side effect,NN,1
83,covid,rrrbyn covid vaccin use one two human fetal cell line hek kidney cell line wide use research industri come fetu abort perc proprietari cell line own johnson johnson develop fetu abort,NNP,1
84,covid,say vaccin use live viru cannot give someon covid,NN,1
85,covid,see microchip cannot put use covid vaccin plu need bigger largescal track extrem close rang someon track cell phone use spread fals inform stupidli easier,NN,1
86,covid,shandro hinshaw give covid vaccin updat noon,NN,1
87,covid,spent time today look whether covid vaccin do go wast peopl cannot attend appoint etc healthcar staff spoken say problem offer do other short notic,NN,1
88,covid,stop wear mask get covid vaccin answer,NN,1
89,covid,take covid vaccin test subject experiment mrna vaccin test ever,NN,1
90,covid,think twice get covid vaccin,NN,1
91,covid,tonight doctor express concern pregnant woman vaccin covid debunk myth vaccin infertil,NN,1
92,covid,top epidemiologist urg singl do covid vaccin foxnew,NNP,1
93,covid,uhuh ontario govern say incorrectli report covid vaccin data,NN,1
94,covid,updat govern tuesday state covid vaccin also work new variant viru proof current vaccin fail guard sarscov mutant claim uk south africa,NNP,1
95,covid,usfda approv first covid vaccin emerg use vaccin safe effect help u defeat viru extrem confid vaccin particip pfizer vaccin trial,NN,1
96,covid,uwu weseawchew uwg govewn deway administew da second dose pfizew inc covid vaccin said efficaci aftew da fiwst dose,NNP,1
97,covid,vaccin common cold research decad vaccin vaccin flu reserch decad never sure flu vacc appli vaccin covid research test readi rolloutwithin month,NNP,1
98,covid,vernersview anyon provid number peopl may suffer seriou side effect perhap death must take follow number account mani million st do vaccin prove safe vastli safer covid cours,NN,1
99,covid,wear mask keep social distanc wash hand best covid vaccin covidinsa,NN,1
100,covid,week episod covid myth bust mara aspinal debunk sever myth ask listen skeptic around new technolog use vaccin test prefer suscept kid final discuss,NN,1
101,covid,wisconsin pharmacist accus tri destroy covid vaccin admit conspiraci theorist told investig believ covid vaccin safe peopl could harm chang dnaa,NNP,2
102,covid,woman experi side effect covid vaccin covid vaccin side effect common nd dose,NN,2
103,covid,y polli amarach research q concern get covid vaccin ye femal male th januari th novemb,NN,1
104,covid,yjiden michaelbarden covid total scam fool believ whatev govt msm tell obvious fake plandem mask work there thing asymptomat transmiss viru delud myth vaccin harm u,NNP,1
105,covid,youatmr look thorough easytounderstand explan covid vaccin work hint doesnatmt work way flu vaccin one great contain perfect amount swear scientif technolog achiev,NNP,1
106,covidindiaseva,mohfwindia pmoindia drharshvardhan ashwinikchoubey pibindia mygovindia covidnewsbymib covidindiaseva everyon take covid vaccin protect covid end coronaviru pandem,NNP,1
107,covidinsa,wear mask keep social distanc wash hand best covid vaccin covidinsa,NN,1
108,covidlong,covidlong longcovid anaphylaxi troublesom year problem ade cv vaccin covid vaccin design elicit neutral antibodi may sensit vaccin recipi sever diseas vaccin,NNP,1
109,covidnewsbymib,mohfwindia pmoindia drharshvardhan ashwinikchoubey pibindia mygovindia covidnewsbymib covidindiaseva everyon take covid vaccin protect covid end coronaviru pandem,NNP,1
110,covidvaccin,b poll plan receiv type covid vaccin covidvaccin,NNP,1
111,covidvaccin,mythbust covidvaccin amyth vaccin need covid recov person afact advis receiv complet schedul vaccin despit recoveri covid enhanc immun respons wevaccin unitefightcorona indiafightscorona,NNP,1
112,longcovid,covidlong longcovid anaphylaxi troublesom year problem ade cv vaccin covid vaccin design elicit neutral antibodi may sensit vaccin recipi sever diseas vaccin,NNP,1
